niveau_cecrl;tache;competence;descripteur;exemple;
A2;Tâche 1;linguistique;Le répertoire lexical limité lui permet de parler de manière télégraphique, malgré quelques éléments linguistiques supra A2.;;
A2;Tâche 1;linguistique;Le candidat commet des erreurs systématiques sur des formes très simples.;;
A2;Tâche 1;linguistique;Beaucoup de prépositions et d'articles sont absents.;;
A2;Tâche 1;linguistique;Les structures de phrases élémentaires ne sont pas maîtrisées, maladroites, incomplètes, juxtaposées.;;
A2;Tâche 1;linguistique;Les phrases ne sont pas connectées.;;
A2;Tâche 1;linguistique;L'accès au sens est souvent difficile (à cause de l'articulation et de la prononciation imprécises) malgré un débit rapide.;;
A2;Tâche 1;linguistique;L'interlocuteur doit faire un effort soutenu pour comprendre le propos du candidat.;;
A2;Tâche 1;linguistique;Sa prononciation empêche de discriminer certains termes ou pronoms.;je pars/parle avant, quand j'ai petite avant collé/collèg, n'ai pas parlé avant l'école agricole, elle: s'agit-il de la Bulgarie ou de sa femme ?, la vie à Bordeaux difficile à cause des étrangers, difficile pour qui lui ou ces personnes ?;
A2;Tâche 1;linguistique;Le candidat possède un répertoire de mots limité mais suffisant pour se présenter simplement, malgré des occurrences de mots anglais: il parle de lui, de sa famille, de son travail assez spontanément.;j'ai un travail en Corbeille-Essonne, j'ai travaillé en service [...] après ma femme et mes parents, personne est ici;
A2;Tâche 1;linguistique;Le candidat utilise quelques structures simples correctement mais il confond les verbes et les auxiliaires.;j'ai un travail en Corbeille-Essonne, j'ai essayé de changer ma vie, j'ai un serveur (au lieu de je suis serveur), j'ai arrivé en France;
A2;Tâche 1;linguistique;La structure des phrases relève plutôt du niveau A1.;;
A2;Tâche 1;linguistique;Ses interventions sont brèves, son débit est assez rapide, la production est fluide mais la prononciation reste approximative sur certains mots.;;
A2;Tâche 1;pragmatique;Le candidat parvient bien à communiquer, à donner beaucoup d'informations mais l'examinateur doit faire preuve de beaucoup de bienveillance.;;
A2;Tâche 1;pragmatique;Beaucoup d'informations sont fournies spontanément.;date de naissance, pays d'origine, cursus scolaire agricole, l'armée, l'entrée dans la vie active, le mariage, la vie en Bulgarie, la vie à Bordeaux et le problème des étrangers méconnaissant la culture et la langue française;
A2;Tâche 1;pragmatique;Il y a des éléments communicatifs supra-A2 (le candidat est capable de produire un discours spontané de plus d'une minute).;;
A2;Tâche 1;pragmatique;"La présentation est linéaire; c'est une liste de points et de dates.";;
A2;Tâche 1;pragmatique;Il peut intéragir de manière simple à condition que l'examinateur le guide dans la conversation.;;
A2;Tâche 1;pragmatique;Le candidat peut répondre à des questions (même si certaines doivent être répétées) et échanger sur des sujets familiers relatifs à son travail, sa famille et sur son expérience passée.;parler de soi, de sa famille en France et au Bangladesh;
A2;Tâche 1;pragmatique;Le discours n'est pas toujours bien construit.;Oui. J'ai été un serveur. Moi a deux bébés. Un c'est 2 ans et le petit c'est 6 mois.;
A2;Tâche 1;pragmatique;Ses idées sont reliées simplement.;et, après;
A2;Tâche 1;sociolinguistique;Le candidat respecte les usages de base des relations sociales.;;
A2;Tâche 1;sociolinguistique;Le candidat se débrouille dans des échanges sociaux très courts, en suivant les usages de base.;;
A2;Tâche 2;linguistique;Le candidat peut utiliser une série de phrases isolées simples mais a un contrôle limité de structures syntaxiques.;"je cherche un petit meuble pour ma cuisine; comment ça se passe?; Vous avez plusieurs tailles?; quelque chose qui colle sur le mur, Placard tiroir tous les deux parce qu'il y a un tiroir aussi besoin";
A2;Tâche 2;linguistique;Il est difficile de valoriser le lexique qui appartient au candidat puisqu'il répète et reprend beaucoup les mots de l'examinatrice.;;
A2;Tâche 2;linguistique;Cependant, il les réutilise à bon escient et peut donner quelques précisions grâce à des périphrases.;"étagères, tiroirs, c'est quelque chose qui colle au mur ; un truc propre qui se nettoie rapidement";
A2;Tâche 2;linguistique;L'échange est assez fluide malgré de nombreux faux départs.;;
A2;Tâche 2;linguistique;Le candidat répond aux questions de l'examinatrice (même s'il serait attendu que ce soit lui qui pose davantage de questions).;;
A2;Tâche 2;pragmatique;Le candidat peut échanger et interroger simplement son interlocutrice.;;
A2;Tâche 2;pragmatique;Il comprend les réponses et réagit spontanément à toutes les relances.;"c'est comment ? Par mètre c’est combien ? ; 4 étagères et 2 tiroirs comme ça";
A2;Tâche 2;pragmatique;On relève quelques connecteurs.;parce que, aussi, et après;
A2;Tâche 2;sociolinguistique;La candidate peut entrer dans des relations sociales simplement mais efficacement en utilisant les expressions courantes les plus simples et en suivant les usages de base.;;
A2;Tâche 3;linguistique;Le candidat peut utiliser une série de phrases simples d’expressions pour répondre en termes simples à la consigne et préciser sa pensée même s’il commet encore systématiquement des erreurs élémentaires.;parce que je rentre chez moi minuit, une heure du matin, Parce que quand je finis mon petit déj, je sorti pour la travail;
A2;Tâche 3;linguistique;Le candidat possède un lexique suffisant pour parler de sa journée, de son emploi du temps personnel et professionnel.;"j’ai besoin d’un petit peu sortir ; j’ai révéillé ; un petit boulot, je prends le bus";
A2;Tâche 3;linguistique;Le candidat utilise principalement le présent et commet des erreurs systématiques dans la morphologie des verbes.;je reveillé, ma famille tout le temps;
A2;Tâche 3;linguistique;Ses interventions sont brèves mais le discours est assez fluide et sa prononciation assez claire.;;
A2;Tâche 3;pragmatique;Le candidat répond à toutes les sollicitations de l’examinatrice et échange des informations sur ce qu’il aime faire le matin et en journée.;;
A2;Tâche 3;pragmatique;Il parvient à donner des exemples simples.;;
A2;Tâche 3;pragmatique;On remarque cependant les limites du candidat à pouvoir exprimer une pensée plus complexe ou à faire une description plus détaillée.;;
A2;Tâche 3;pragmatique;On remarque l’emploi de connecteurs logiques de niveau A2.;et, mais, parce que, voilà;
A2;Tâche 3;sociolinguistique;Le candidat peut entrer dans des relations sociales simplement mais efficacement en utilisant les expressions courantes les plus simples et en suivant les usages de base.;;
B1;Tâche 1;linguistique;Le candidat possède un vocabulaire suffisant pour décrire en détails son parcours ou une expérience personnelle.;formation, obtenir, certificat, hospitalisé, maladie inconnue;
B1;Tâche 1;linguistique;Le candidat utilise correctement le passé composé et l'imparfait.;;
B1;Tâche 1;linguistique;On repère quelques relatives réussies.;j'ai eu une maladie inconnue et qui m'a attaqué;
B1;Tâche 1;linguistique;Des erreurs sont encore assez présentes : accord en genre, articles parfois manquants.;mon première formation;
B1;Tâche 1;linguistique;Malgré des pauses et des hésitations, le candidat s'exprime en général de manière compréhensible.;;
B1;Tâche 1;pragmatique;Le candidat répond en développant aux questions de l'examinatrice, et aborde spontanément certains sujets.;formation, expérience personnelle liée à la maladie;
B1;Tâche 1;pragmatique;Ses idées sont reliées par des connecteurs.;parce que, aussi, mais, après;
B1;Tâche 1;sociolinguistique;Il est capable d'interagir aisément avec l'examinatrice en suivant les usages de base.;;
B1;Tâche 2;linguistique;La candidate utilise correctement un vocabulaire courant qui lui permet de mener à bien la tâche.;;
B1;Tâche 2;linguistique;Elle commet encore des erreurs systématiques (verbes non conjugués, genre), mais on relève l'utilisation réussie de structures complexes, notamment des relatives.;qui apprendre, livres avec les photos qui parlent, je pense pas que je vais retourner;
B1;Tâche 2;linguistique;Les structures interrogatives simples sont maîtrisées, mais peu variées.;est-ce que, ça coûte combien...;
B1;Tâche 2;linguistique;Les pauses et les hésitations sont rares.;;
B1;Tâche 2;linguistique;Elle prononce correctement les expressions et mots les plus courants.;;
B1;Tâche 2;pragmatique;La candidate est capable de mener l'interaction et de poser des questions simples, mais sur des éléments variés.;;
B1;Tâche 2;pragmatique;On relève l'utilisation d'articulateurs lui permettant de justifier ou préciser ses demandes.;pour, parce que, mais;
B1;Tâche 2;sociolinguistique;La candidate réagit avec aisance et naturel aux réponses de l'examinatrice.;ah, c'est parfait !;
B1;Tâche 2;sociolinguistique;Peut entrer dans des relations sociales simplement mais efficacement en utilisant les expressions courantes les plus simples et en suivant les usages de base.;;
B1;Tâche 3;linguistique;Le candidat possède un répertoire lexical suffisant pour exprimer son opinion sur le sujet donné, quelque fois à l’aide de périphrases.;La personne qui est moins âgée;
B1;Tâche 3;linguistique;On relève quelques erreurs de maîtrise lorsque le candidat exprime des idées plus complexes.;effets internes;
B1;Tâche 3;linguistique;Le candidat utilise quelques structures complexes intéressantes (relatives, comparaison, hypothèse).;il y a des conséquences qui arrivent, ils sont moins forts que le Russe, si + présent;
B1;Tâche 3;linguistique;Des erreurs de base (accord en genre, articles manquants) sont encore présentes.;;
B1;Tâche 3;linguistique;Malgré quelques pauses et hésitations, le candidat répond de façon développée et sa prononciation est globalement intelligible.;;
B1;Tâche 3;pragmatique;Le candidat est capable d'exprimer simplement son opinion personnelle.;à mon avis, c'est important parce que...;
B1;Tâche 3;pragmatique;Il fournit des détails en s'appuyant sur des exemples concrets.;;
B1;Tâche 3;pragmatique;On relève l'utilisation de connecteurs, mais les répétitions des parce que sont nombreuses.;car, parce que, par exemple, aussi, mais;
B1;Tâche 3;sociolinguistique;Le candidat entre dans des relations sociales simplement mais efficacement en utilisant les expressions courantes les plus simples et en suivant les usages de base.;;
B2;Tâche 2;linguistique;Le candidat possède une gamme étendue et précise de vocabulaire.;collier, déclaration, autorisation, affiche;
B2;Tâche 2;linguistique;Le vocabulaire utilisé est globalement exact.;;
B2;Tâche 2;linguistique;On relève quelques erreurs de maîtrise mais sur des termes plus spécifiques.;nez à la place de museau;
B2;Tâche 2;linguistique;Le candidat fait preuve d'un bon contrôle grammatical, les erreurs restent rares.;;
B2;Tâche 2;linguistique;Il utilise des temps variés.;présent, passé composé, imparfait, futur proche & simple, gérondif présent;
B2;Tâche 2;linguistique;On relève des structures complexes réussies.;j'ai entendu que vous avez perdu votre chien, des personnes qui étaient avec vous;
B2;Tâche 2;linguistique;Son débit est naturel et fluide.;;
B2;Tâche 2;pragmatique;Le candidat peut mener à bien l'interaction et a réussi à poser des questions sur des aspects variés, en utilisant différentes structures interrogatives.;est-ce que... ou pas encore ?, sujet + verbe avec intonation montante;
B2;Tâche 2;pragmatique;Quelques questions sont plus maladroitement formulées.;quelle est la dernière fois est-ce que... ?, où vous avez laissé votre chien ?;
B2;Tâche 2;pragmatique;On relève l'utilisation de quelques connecteurs.;donc, et, lorsque;
B2;Tâche 2;sociolinguistique;Le candidat peut entrer dans des relations sociales efficacement en utilisant les expressions courantes et en adaptant ce qu'il dit à la situation et au destinataire.;;
B2;Tâche 2;sociolinguistique;Le candidat est capable de réagir aux interventions de l'examinatrice.;;
B2;Tâche 3;linguistique;La candidate utilise un lexique précis lui permettant d'expliquer en détails son opinion.;temps libre, relaxant, comédie, léger;
B2;Tâche 3;linguistique;On relève l'utilisation d'adverbes ainsi que de structures plus complexes (relatives, comparaison, hypothèse).;normalement, tellement, c'est une livre que j'ai déjà lu plusieurs fois, comme le livre..., si + présent + après + présent;
B2;Tâche 3;linguistique;Malgré cette richesse grammaticale, des erreurs systématiques sont encore présentes.;une jour, je rentrer;
B2;Tâche 3;linguistique;Sa prononciation et son intonation sont globalement correctes.;;
B2;Tâche 3;linguistique;Il y a peu de pauses ou d'hésitations dans son discours.;;
B2;Tâche 3;pragmatique;Le candidat est capable d'exprimer ses goûts en les justifiant et en donnant des détails significatifs.;;
B2;Tâche 3;pragmatique;Ses réponses sont développées et avec un certain degré de spontanéité.;;
B2;Tâche 3;pragmatique;Ses énoncés sont reliés avec des articulateurs variés.;après, donc, parce que, comme ça;
B2;Tâche 3;sociolinguistique;Le candidat peut mener à bien la tâche de façon spontanée et efficace, en utilisant un registre adapté.;;
